date,nav,benchmark
2024-01-18,10146011.52,27.805
2024-01-19,10143610.88,27.895
2024-01-22,10128991.87,28.075
2024-01-23,10135559.72,28.06
2024-01-24,10145472.84,28.155
2024-01-25,10140377.2,28.23
2024-01-26,10176985.14,28.27
2024-01-29,10193533.69,28.38
2024-01-30,10202675.94,28.425
2024-01-31,10198065.34,28.375
2024-02-01,10190381.26,28.355
2024-02-02,10198412.28,28.455
2024-02-05,10175110.06,28.47
2024-02-06,10200838.7,28.6
2024-02-07,10212554.91,28.71
2024-02-08,10208844.51,28.62
2024-02-09,10226015.56,28.62
2024-02-12,10277499.5,28.81
2024-02-13,10245502.64,28.515
2024-02-14,10320569.92,28.565
2024-02-15,10363138.93,28.705
2024-02-16,10382562.38,28.8
2024-02-19,10373979.98,28.78
2024-02-20,10385079.12,28.645
2024-02-21,10378034.17,28.595
2024-02-22,10401239.19,28.815
2024-02-23,10407786.03,28.95
2024-02-26,10436633.71,28.82
2024-02-27,10466432.8,28.87
2024-02-28,10539159.41,28.795
2024-02-29,10546145.48,28.9
2024-03-01,10589933.1,29.05
2024-03-04,10657590.75,29.015
2024-03-05,10587810.82,28.97
2024-03-06,10634379.99,29.075
2024-03-07,10690206.38,29.12
2024-03-08,10707941.42,29.145
2024-03-11,10748920.07,29.0
2024-03-12,10759109.84,29.135
2024-03-13,10769979.29,29.08
2024-03-14,10749142.11,29.1
2024-03-15,10699614.22,29.015
2024-03-18,10689172.18,29.09
2024-03-19,10614555.64,29.15
2024-03-20,10716745.1,29.23
2024-03-21,10738923.53,29.445
2024-03-22,10702216.01,29.515
2024-03-25,10779797.79,29.45
2024-03-26,10796828.54,29.48
2024-03-27,10807780.9,29.505
2024-03-28,10890861.67,29.665
2024-03-29,10885351.26,29.665
2024-04-01,10893452.04,29.665
2024-04-02,10824811.37,29.4
2024-04-03,10826226.38,29.47
2024-04-04,10842519.21,29.48
2024-04-05,10810231.53,29.23
2024-04-08,10854704.2,29.31
2024-04-09,10821193.3,29.285
2024-04-10,10834924.34,29.285
2024-04-11,10827769.68,29.28
2024-04-12,10826994.95,29.435
2024-04-15,10810588.01,29.345
2024-04-16,10752088.96,28.98
2024-04-17,10732962.24,28.865
2024-04-18,10770454.17,28.945
2024-04-19,10770590.34,28.885
2024-04-22,10790757.47,28.935
2024-04-23,10824357.22,29.08
2024-04-24,10796788.94,28.965
2024-04-25,10766353.11,28.765
2024-04-26,10821647.85,29.075
2024-04-29,10838726.97,29.13
2024-04-30,10789057.85,29.09
2024-05-01,10768520.13,29.09
2024-05-02,10769219.85,29.005
2024-05-03,10814769.02,29.23
2024-05-06,10842862.84,29.355
2024-05-07,10893040.76,29.5
2024-05-08,10877343.49,29.41
2024-05-09,10934363.94,29.475
2024-05-10,10943890.0,29.52
2024-05-13,10954680.59,29.52
2024-05-14,10951100.96,29.485
2024-05-15,11038913.99,29.715
2024-05-16,11036031.2,29.78
2024-05-17,11032087.94,29.7
2024-05-20,11129350.3,29.755
2024-05-21,11080681.11,29.725
2024-05-22,11173473.42,29.71
2024-05-23,11156352.32,29.65
2024-05-24,11146750.2,29.605
2024-05-27,11172412.11,29.665
2024-05-28,11167166.79,29.57
2024-05-29,11119968.41,29.435
2024-05-30,11145655.87,29.465
2024-05-31,11129932.52,29.335
2024-06-03,11175419.65,29.52
2024-06-04,11151936.91,29.475
2024-06-05,11170641.67,29.715
2024-06-06,11190426.53,29.77
2024-06-07,11140612.35,29.775
2024-06-10,11146183.56,29.8
2024-06-11,11101320.98,29.825
2024-06-12,11165837.22,30.01
2024-06-13,11116812.96,30.025
2024-06-14,11107710.0,30.07
2024-06-17,11097962.25,30.15
2024-06-18,11107806.67,30.175
2024-06-19,11106524.33,30.24
2024-06-20,11161766.66,30.275
2024-06-21,11137730.56,30.235
2024-06-24,11137472.9,30.3
2024-06-25,11113795.54,30.285
2024-06-26,11097387.41,30.22
2024-06-27,11103581.25,30.245
2024-06-28,11062991.28,30.27
2024-07-01,11048814.72,30.16
2024-07-02,11041464.69,30.125
